#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xset,"utility for configuring and ajusting X server"
,polkit,"manages user policies."
,otf-libertinus,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzugpp,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,nordic-theme,"gives the dark GTK theme used."
A,papirus-nord,"GTK icon theme."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,librewolf-extension-localcdn-bin,"local emulation of Content Delivery Networks."
A,librewolf-extension-istilldontcareaboutcookies-bin,"removes annoying cookie banners"
A,librewolf-extension-ublock-origin-bin,"the best ad blocker in town."
A,librewolf-extension-darkreader-bin,"dark mode and themes everywhere."
A,librewolf-extension-violentmonkey-bin,"userscripts"
A,librewolf-extension-reverse-image-search,"reverse image search images on right click."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/ewof/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/ewof/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/ewof/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ewof/dwm.git,"is the window manager."
A,mutt-wizard,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data-eng,"english language pack for OCR"
,teamspeak-3,"discord but old"
A,nvidia,"nvidia gpu driver."
A,nvidia-utils,"nvidia utils."
A,lib32-nvidia-utils,"lib32 nvidia utils"
,nvidia-settings,"nvidia settings."
,steam,"vidya."
,wqy-zenhei,"steam asian font stuff."
,xfce4-screenshooter,"required for sharenix."
A,nodejs,"needed for zoomer nvim setup."
A,npm,"needed for zoomer nvim setup."
P,neovim,"needed for zoomer nvim setup."
,discord,"discord."
A,discord-update-skip-git,"helps with annoying discord updater."
A,discord-ptb,"discord ptb."
A,discord-ptb-update-skip-git,"helps with annoying discord updater."
A,discord-canary,"helps with annoying discord updater."
A,discord-canary-update-skip-git,"helps with annoying discord updater."
A,p7zip,"zip and 7zip tool"
A,prismlauncher,"minecraft launcher"
,openvpn,"openvpn."
A,visual-studio-code-bin,"IDE."
A,spotify,"Music player."
A,spicetify-cli,"Themes for spotify."
,tmux,"terminal manager."
,github-cli,"Github cli."
,element-desktop,"discord but for autists."
,telegram-desktop,"Honeypot messaging service."
,signal-desktop,"Telegram but better."
,bmon,"Network traffic viewer."
,nicotine+,"soulseek client."
,qbittorrent,"Torrent client."
,imagemagick,"imagemagick."
,w3m,"html tui stuff."
,links,"links."
,elinks,"elinks."
,urlview,"view urls bro."
A,python-yams,"yet another mpd scrobbler."
A,sharenix-git,"upload to image hosting sites."
,cronie,"cron."
,cronie-runit,"cron service."
,teamspeak3,"discord for old dudes."
,mumble,"teamspeak but not larp."
,zip,"zip."
,unzip,"unzip."
,netmount-runit,"Service to mount/umount network filesystems from fstab."
,cifs-utils,"CIFS filesystem user-space tools."
,openvpn-runit,"runit service scripts for openvpn."
,transmission-cli,"Fast, easy, and free BitTorrent client (CLI tools, daemon and web client)."
A,stig,"TUI and CLI client for the Transmission daemon."
